FUNCTION,AGENCY
VF 194 ARTS,VA 930 National Gallery of Victoria ? 1869 -ct Prime
"VF 377 BANKS, STATE",VA 3154 Commonwealth Bank of Australia ? 1911 -ct Prime
VF 383 ELECTIONS,VA 4196 Victorian Electoral Commission ? 1958 -ct Prime
"VF 433 ELECTORAL LAWS, ADMINISTRATION OF",VA 4196 Victorian Electoral Commission ? 1958 -ct Prime
VF 82 GALLERIES,VA 4940 Horsham Regional Art Gallery ? 1973 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 2970 Ambulance Service Victoria North Western Region ? 1986 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 2980 Ambulance Service Victoria South Western Region ? 1986 -ct Prime
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),VA 4259 Historic Shipwrecks Advisory Committee II ? 1995 -ct Prime
"VF 457 PLUMBERS/GASFITTERS, REGISTRATION/REGULATION OF",VA 4257 Plumbing Industry Advisory Council ? 1997 -ct Prime
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 472 Police Magistrate Port Phillip District 1836 -1839 Other
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 2870 Licensing Courts 1836 -1916 Prime
VF 3 CENSUS AND STATISTICS,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 5 FINANCE,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 8 IMMIGRATION (NINETEENTH CENTURY),"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 10 POLICE,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 11 PORTS AND HARBOURS,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 12 POSTAL SERVICES,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 13 PRISONS AND YOUTH TRAINING CENTRES,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)","VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 15 ROADS AND BRIDGES,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
"VF 125 HEALTH, PUBLIC","VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 175 ABORIGINAL AFFAIRS,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 269 CUSTOMS,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF","VA 473 Superintendent, Port Phillip District 1839 -1851 Other"
VF 309 CROWN LANDS (PUBLIC),"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 310 CROWN LANDS (GOVERNMENT),"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 373 ARMED FORCES COMMAND,"VA 473 Superintendent, Port Phillip District 1839 -1851 Prime"
VF 6 GENERAL SUPERINTENDENCE,"VA 473 Superintendent, Port Phillip District 1839 -ct Prime"
VF 309 CROWN LANDS (PUBLIC),"VA 4739 Commissioner of Crown Lands, County of Grant 1840 -? 1858 Other"
VF 309 CROWN LANDS (PUBLIC),"VA 2710 Commissioner of Crown Lands, Westernport 1840 -? 1858 Other"
VF 309 CROWN LANDS (PUBLIC),"VA 4737 Commissioner of Crown Lands, Portland Bay 1840 -? 1860 Other"
VF 309 CROWN LANDS (PUBLIC),"VA 4729 Commissioner of Crown Lands, County of Bourke 1841 -? 1860 Other"
"VF 125 HEALTH, PUBLIC",VA 1048 Royal Melbourne Hospital 1841 -ct Prime
VF 309 CROWN LANDS (PUBLIC),"VA 4738 Commissioner of Crown Lands, Gippsland District 1843 -? 1858 Other"
VF 309 CROWN LANDS (PUBLIC),"VA 2711 Commissioner of Crown Lands, Murray District 1843 -? 1858 Other"
VF 309 CROWN LANDS (PUBLIC),"VA 4740 Commissioner of Crown Lands, Wimmera District 1846 -? 1858 Other"
VF 379 CEMETERY TRUSTS,VA 4803 Mount Moriac Cemetery Trust 1850 -ct Prime
VF 15 ROADS AND BRIDGES,VA 856 Colonial Secretary's Office 1851 -1853 Prime
VF 309 CROWN LANDS (PUBLIC),VA 856 Colonial Secretary's Office 1851 -1853 Prime
VF 310 CROWN LANDS (GOVERNMENT),VA 856 Colonial Secretary's Office 1851 -1853 Prime
VF 3 CENSUS AND STATISTICS,VA 856 Colonial Secretary's Office 1851 -1854 Prime
VF 8 IMMIGRATION (NINETEENTH CENTURY),VA 856 Colonial Secretary's Office 1851 -1855 Prime
VF 10 POLICE,VA 856 Colonial Secretary's Office 1851 -1855 Prime
VF 13 PRISONS AND YOUTH TRAINING CENTRES,VA 856 Colonial Secretary's Office 1851 -1855 Prime
