FUNCTION,PERIOD,URL
VF 194 ARTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=194 
"VF 377 BANKS, STATE",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=377 
VF 383 ELECTIONS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=383 
"VF 433 ELECTORAL LAWS, ADMINISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=433 
VF 82 GALLERIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=82 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 183 ARCHAEOLOGICAL SURVEY (MARITIME AND HISTORIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=183 
"VF 457 PLUMBERS/GASFITTERS, REGISTRATION/REGULATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=457 
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=302 
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=302 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 5 FINANCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=5 
VF 8 IMMIGRATION (NINETEENTH CENTURY),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=8 
VF 10 POLICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=10 
VF 11 PORTS AND HARBOURS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=11 
VF 12 POSTAL SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=12 
VF 13 PRISONS AND YOUTH TRAINING CENTRES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=13 
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=14 
VF 15 ROADS AND BRIDGES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=15 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 175 ABORIGINAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=175 
VF 269 CUSTOMS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=269 
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=302 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 310 CROWN LANDS (GOVERNMENT),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=310 
VF 373 ARMED FORCES COMMAND,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=373 
VF 6 GENERAL SUPERINTENDENCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=6 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 379 CEMETERY TRUSTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=379 
VF 15 ROADS AND BRIDGES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=15 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 310 CROWN LANDS (GOVERNMENT),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=310 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 8 IMMIGRATION (NINETEENTH CENTURY),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=8 
VF 10 POLICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=10 
VF 13 PRISONS AND YOUTH TRAINING CENTRES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=13 
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=14 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
VF 20 GOLDFIELDS ADMINISTRATION AND MINING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=20 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 175 ABORIGINAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=175 
VF 17 SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=17 
VF 11 PORTS AND HARBOURS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=11 
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=302 
VF 5 FINANCE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=5 
VF 36 CROWN SOLICITOR'S SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=36 
VF 12 POSTAL SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=12 
